date,alpha_id,id,name,total_elec_gen_emp,total_ff_elec_gen_emp,total_non_ff_elec_gen_emp,per_value
2016,AL,1,Alabama,9045,3390,5654,63
2016,AK,2,Alaska,1324,532,792,60
2016,AZ,4,Arizona,21263,9863,11400,54
2016,AR,5,Arkansas,3156,640,2517,80
2016,CA,6,California,203269,18520,184749,91
2016,CO,8,Colorado,25096,4614,20481,82
2016,CT,9,Connecticut,5205,742,4462,86
2016,DE,10,Delaware,862,257,605,70
2016,FL,12,Florida,49209,15599,33609,68
2016,GA,13,Georgia,12470,2536,9934,80
2016,HI,15,Hawaii,7347,2127,5220,71
2016,ID,16,Idaho,1834,18,1816,99
2016,IL,17,Illinois,28434,6905,21529,76
2016,IN,18,Indiana,17222,6873,10349,60
2016,IA,19,Iowa,7636,2401,5235,69
2016,KS,20,Kansas,15922,9638,6283,39
2016,KY,21,Kentucky,4785,2762,2023,42
2016,LA,22,Louisiana,7174,2072,5102,71
2016,ME,23,Maine,2537,164,2373,94
2016,MD,24,Maryland,13053,3834,9219,71
2016,MA,25,Massachusetts,38379,5753,32627,85
2016,MI,26,Michigan,27751,6508,21243,77
2016,MN,27,Minnesota,11041,2142,8898,81
2016,MS,28,Mississippi,3459,1444,2015,58
2016,MO,29,Missouri,9312,3246,6067,65
2016,MT,30,Montana,1224,518,706,58
2016,NE,31,Nebraska,5243,1065,4178,80
2016,NV,32,Nevada,13776,1499,12277,89
2016,NH,33,New Hampshire,5645,1497,4148,73
2016,NJ,34,New Jersey,20745,3134,17610,85
2016,NM,35,New Mexico,5623,528,5095,91
2016,NY,36,New York,44026,5029,38997,89
2016,NC,37,North Carolina,19052,4776,14276,75
2016,ND,38,North Dakota,3295,1292,2003,61
2016,OH,39,Ohio,30184,18978,11206,37
2016,OK,40,Oklahoma,5821,2625,3196,55
2016,OR,41,Oregon,10220,304,9915,97
2016,PA,42,Pennsylvania,16450,3575,12875,78
2016,RI,44,Rhode Island,3337,153,3184,95
2016,SC,45,South Carolina,28994,6491,22504,78
2016,SD,46,South Dakota,2322,186,2136,92
2016,TN,47,Tennessee,11285,703,10582,94
2016,TX,48,Texas,48794,8784,40010,82
2016,UT,49,Utah,9651,3015,6635,69
2016,VT,50,Vermont,3078,4,3075,100
2016,VA,51,Virginia,13036,2324,10712,82
2016,WA,53,Washington,14578,455,14123,97
2016,WV,54,West Virginia,3914,2691,1223,31
2016,WI,55,Wisconsin,10182,3422,6759,66
2016,WY,56,Wyoming,1648,1358,290,18
2017,AL,1,Alabama,9758,3720,6038,62
2017,AK,2,Alaska,1442,642,800,56
2017,AZ,4,Arizona,24386,10398,13988,57
2017,AR,5,Arkansas,3449,775,2673,78
2017,CA,6,California,193655,22050,171605,89
2017,CO,8,Colorado,25239,4572,20667,82
2017,CT,9,Connecticut,5719,1134,4585,80
2017,DE,10,Delaware,1075,327,748,70
2017,FL,12,Florida,51288,19434,31854,62
2017,GA,13,Georgia,13325,2863,10462,79
2017,HI,15,Hawaii,6753,2038,4715,70
2017,ID,16,Idaho,1934,59,1875,97
2017,IL,17,Illinois,29963,7602,22361,75
2017,IN,18,Indiana,17821,6953,10868,61
2017,IA,19,Iowa,9513,2445,7068,74
2017,KS,20,Kansas,16558,9956,6602,40
2017,KY,21,Kentucky,4956,2817,2140,43
2017,LA,22,Louisiana,8187,2994,5192,63
2017,ME,23,Maine,2733,275,2458,90
2017,MD,24,Maryland,13377,4118,9260,69
2017,MA,25,Massachusetts,37927,6550,31377,83
2017,MI,26,Michigan,28535,7407,21128,74
2017,MN,27,Minnesota,12490,2309,10181,82
2017,MS,28,Mississippi,4683,2613,2070,44
2017,MO,29,Missouri,9668,3345,6323,65
2017,MT,30,Montana,1287,529,758,59
2017,NE,31,Nebraska,6551,1127,5424,83
2017,NV,32,Nevada,12984,1783,11201,86
2017,NH,33,New Hampshire,5806,1659,4147,71
2017,NJ,34,New Jersey,21209,3444,17765,84
2017,NM,35,New Mexico,5442,553,4889,90
2017,NY,36,New York,46192,6771,39421,85
2017,NC,37,North Carolina,19780,5324,14456,73
2017,ND,38,North Dakota,3536,1286,2250,64
2017,OH,39,Ohio,30089,18590,11499,38
2017,OK,40,Oklahoma,6796,3433,3363,49
2017,OR,41,Oregon,10020,571,9449,94
2017,PA,42,Pennsylvania,18689,4849,13841,74
2017,RI,44,Rhode Island,2410,204,2206,92
2017,SC,45,South Carolina,29108,6890,22218,76
2017,SD,46,South Dakota,3040,262,2779,91
2017,TN,47,Tennessee,11544,845,10700,93
2017,TX,48,Texas,54371,12473,41897,77
2017,UT,49,Utah,10643,3411,7232,68
2017,VT,50,Vermont,2933,21,2912,99
2017,VA,51,Virginia,13896,2666,11230,81
2017,WA,53,Washington,14763,672,14091,95
2017,WV,54,West Virginia,3961,2699,1262,32
2017,WI,55,Wisconsin,10509,3593,6916,66
2017,WY,56,Wyoming,1667,1346,321,19
2018,AL,1,Alabama,9943,3757,6186,62
2018,AK,2,Alaska,1449,649,800,55
2018,AZ,4,Arizona,23855,9883,13972,59
2018,AR,5,Arkansas,3610,788,2822,78
2018,CA,6,California,183418,22901,160518,88
2018,CO,8,Colorado,24891,4284,20607,83
2018,CT,9,Connecticut,5920,1218,4701,79
2018,DE,10,Delaware,1126,350,776,69
2018,FL,12,Florida,52290,19659,32631,62
2018,GA,13,Georgia,13561,2935,10625,78
2018,HI,15,Hawaii,6520,1949,4571,70
2018,ID,16,Idaho,1990,90,1900,95
2018,IL,17,Illinois,30388,7595,22793,75
2018,IN,18,Indiana,17573,6789,10784,61
2018,IA,19,Iowa,9340,2352,6988,75
