Date,Car_type,Percent
6/1/21,Diesel,41%
7/1/21,Diesel,41%
8/1/21,Diesel,42%
9/1/21,Diesel,40%
10/1/21,Diesel,41%
11/1/21,Diesel,40%
12/1/21,Diesel,41%
1/1/22,Diesel,40%
2/1/22,Diesel,40%
3/1/22,Diesel,38%
4/1/22,Diesel,38%
5/1/22,Diesel,38%
6/1/22,Diesel,38%
7/1/22,Diesel,38%
8/1/22,Diesel,38%
9/1/22,Diesel,37%
10/1/22,Diesel,36%
11/1/22,Diesel,36%
12/1/22,Diesel,37%
1/1/23,Diesel,35%
2/1/23,Diesel,36%
3/1/23,Diesel,37%
4/1/23,Diesel,36%
5/1/23,Diesel,36%
6/1/23,Diesel,36%
7/1/23,Diesel,35%
8/1/23,Diesel,34%
9/1/23,Diesel,34%
10/1/23,Diesel,34%
11/1/23,Diesel,33%
12/1/23,Diesel,32%
1/1/24,Diesel,30%
2/1/24,Diesel,31%
3/1/24,Diesel,31%
4/1/24,Diesel,31%
5/1/24,Diesel,31%
6/1/24,Diesel,31%
6/1/21,Hybrid,4%
7/1/21,Hybrid,4%
8/1/21,Hybrid,4%
9/1/21,Hybrid,4%
10/1/21,Hybrid,4%
11/1/21,Hybrid,4%
12/1/21,Hybrid,4%
1/1/22,Hybrid,4%
2/1/22,Hybrid,5%
3/1/22,Hybrid,6%
4/1/22,Hybrid,5%
5/1/22,Hybrid,5%
6/1/22,Hybrid,6%
7/1/22,Hybrid,5%
8/1/22,Hybrid,5%
9/1/22,Hybrid,5%
10/1/22,Hybrid,5%
11/1/22,Hybrid,6%
12/1/22,Hybrid,6%
1/1/23,Hybrid,7%
2/1/23,Hybrid,7%
3/1/23,Hybrid,8%
4/1/23,Hybrid,8%
5/1/23,Hybrid,8%
6/1/23,Hybrid,9%
7/1/23,Hybrid,9%
8/1/23,Hybrid,9%
9/1/23,Hybrid,9%
10/1/23,Hybrid,9%
11/1/23,Hybrid,10%
12/1/23,Hybrid,10%
1/1/24,Hybrid,12%
2/1/24,Hybrid,11%
3/1/24,Hybrid,12%
4/1/24,Hybrid,12%
5/1/24,Hybrid,12%
6/1/24,Hybrid,13%
6/1/21,Petrol,54%
7/1/21,Petrol,55%
8/1/21,Petrol,54%
9/1/21,Petrol,55%
10/1/21,Petrol,54%
11/1/21,Petrol,55%
12/1/21,Petrol,54%
1/1/22,Petrol,56%
2/1/22,Petrol,56%
3/1/22,Petrol,57%
4/1/22,Petrol,57%
5/1/22,Petrol,56%
6/1/22,Petrol,56%
7/1/22,Petrol,56%
8/1/22,Petrol,57%
9/1/22,Petrol,57%
10/1/22,Petrol,58%
11/1/22,Petrol,58%
12/1/22,Petrol,57%
1/1/23,Petrol,58%
2/1/23,Petrol,57%
3/1/23,Petrol,56%
4/1/23,Petrol,56%
5/1/23,Petrol,56%
6/1/23,Petrol,56%
7/1/23,Petrol,56%
8/1/23,Petrol,57%
9/1/23,Petrol,57%
10/1/23,Petrol,57%
11/1/23,Petrol,57%
12/1/23,Petrol,58%
1/1/24,Petrol,58%
2/1/24,Petrol,58%
3/1/24,Petrol,57%
4/1/24,Petrol,57%
5/1/24,Petrol,57%
6/1/24,Petrol,57%
