date,source,value
2023,Solar ,364544
2023,Land-based Wind,130239
2023,Offshore Wind,1088
2023,Geo,8870
2023,Bio,12857
2023,Low Impact Hydropower,11730
2023,Traditional Hydropower,56641
2023,Advanced Natural Gas,78060
2023,Nuclear,58517
2023,Coal,63180
2023,Oil and Other Petroleum,12337
2023,Nat Gas,45160
2023,Combined Heat and Power,30643
2023,Other,44984
2022,Solar ,346143
2022,Land-based Wind,124524
2022,Offshore Wind,1056
2022,Geo,8635
2022,Bio,12850
2022,Low Impact Hydropower,11677
2022,Traditional Hydropower,54595
2022,Advanced Natural Gas,74413
2022,Nuclear,56921
2022,Coal,64051
2022,Oil and Other Petroleum,12020
2022,Nat Gas,44094
2022,Combined Heat and Power,29718
2022,Other,42566
