,quote_date,shop_code,item_id_raw,region,price,indicator_box,item_id,description
31339273,1991-03-01,19.0,510201,2.0,90.0,,510201,WOMEN'S SUIT
31339275,1996-07-01,36.0,510201,2.0,42.98,S,510201,WOMEN'S SUIT
31339284,1996-07-01,4.0,510201,2.0,50.0,S,510201,WOMEN'S SUIT
31339293,1993-06-01,6.0,510201,2.0,45.98,,510201,WOMEN'S SUIT
31339301,1992-01-01,152.0,510201,2.0,56.98,,510201,WOMEN'S SUIT
31339330,1996-06-01,36.0,510201,2.0,70.0,,510201,WOMEN'S SUIT
31339347,1996-12-01,132.0,510201,2.0,128.95,C,510201,WOMEN'S SUIT
31339355,1992-05-01,47.0,510201,2.0,165.0,,510201,WOMEN'S SUIT
31339363,1996-10-01,255.0,510201,2.0,75.0,C,510201,WOMEN'S SUIT
31339364,1996-05-01,229.0,510201,2.0,129.98,C,510201,WOMEN'S SUIT
31339369,1995-10-01,128.0,510201,2.0,39.990002,,510201,WOMEN'S SUIT
31339380,1996-11-01,115.0,510201,2.0,80.0,,510201,WOMEN'S SUIT
31339385,1996-04-01,48.0,510201,2.0,34.990002,,510201,WOMEN'S SUIT
31339403,1993-02-01,4.0,510201,2.0,35.0,,510201,WOMEN'S SUIT
31339418,1992-01-01,46.0,510201,2.0,100.0,,510201,WOMEN'S SUIT
31339431,1994-05-01,111.0,510201,2.0,49.98,,510201,WOMEN'S SUIT
31339446,1993-02-01,34.0,510201,2.0,25.99,,510201,WOMEN'S SUIT
31339481,1993-07-01,81.0,510201,2.0,46.98,C,510201,WOMEN'S SUIT
31339488,1990-04-01,55.0,510201,2.0,80.0,,510201,WOMEN'S SUIT
31339502,1995-07-01,70.0,510201,2.0,75.0,S,510201,WOMEN'S SUIT
31339503,1990-10-01,46.0,510201,2.0,85.0,,510201,WOMEN'S SUIT
31339510,1993-10-01,28.0,510201,2.0,59.990002,,510201,WOMEN'S SUIT
31339513,1995-09-01,806.0,510201,2.0,120.0,,510201,WOMEN'S SUIT
31339529,1991-07-01,35.0,510201,2.0,39.990002,,510201,WOMEN'S SUIT
31339541,1993-03-01,70.0,510201,2.0,69.940002,,510201,WOMEN'S SUIT
31339585,1996-11-01,59.0,510201,2.0,49.98,,510201,WOMEN'S SUIT
31339588,1996-12-01,40.0,510201,2.0,62.0,,510201,WOMEN'S SUIT
31339598,1995-06-01,80.0,510201,2.0,120.0,C,510201,WOMEN'S SUIT
